FullName,ExecutiveTitle,Company,City,State,PostalCode,ISICDivision,IndustryDescription,Sales,Assets,Employees
Yin Honghai,Director,"Tianjin Global Magnetic Card Co., Ltd.",Tianjin,Tianjin,300202,26,"Manufacture of computer, electronic and optical products",24849,123663.5,942
Yin Hua,Chairman,"Shanghai Ka Komori Trade Co., Ltd.",Shanghai,Shanghai,200235,46,"Wholesale trade, except of motor vehicles and motorcycles",1559.3,427.4,5
Yin Hui,Director,Shindoo Chemical Industry Co Ltd,Chengdu,Sichuan,610500,20,Manufacture of chemicals and chemical products,757529.2,1076599,8653
Yin Jiade,Director,"Heilongjiang Dinghengsheng Pharmaceutical Co., Ltd.",Qiqihar,Heilongjiang,161000,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,182.1,650.6,20
Yin Jian,Independent Director,North Navigation Control Technlgy Co Ltd,Beijing,Beijing,100176,26,"Manufacture of computer, electronic and optical products",260720.6,661627.4,2260
Yin Jianhao,Director,"COFCO Property (Group) Co., Ltd.",Shenzhen,Guangdong,518048,41,Construction of buildings,1467459,7468846,2773
Yin Jianhua,Director,Shenzhen Fountain Corporation,Shenzhen,Guangdong,518001,41,Construction of buildings,8566.5,220407.6,421
Yin Jianhua,Chairman,"Shanghai Totem Information Technology Co., Ltd.",Shanghai,Shanghai,200233,46,"Wholesale trade, except of motor vehicles and motorcycles",6279.2,1563.8,24
Yin Jin Long,Director,"Jilin Zixin Pharmaceutical Ind. Co., Ltd",Changchun,Jilin,130041,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,125909.8,653550.5,1376
Yin Jinfang,Chairman,"Changzhou Yazi Lighting Electronic Co.,Ltd.",Changzhou,Jiangsu,213119,27,Manufacture of electrical equipment,1097.5,2197.2,86
Yin Jinquan,Independent Director,Suzhou Industrial Park Hshn Elctr Co Ltd,Suzhou,Jiangsu,215122,27,Manufacture of electrical equipment,52747.7,132075.5,299
Yin Jinrong,Chairman of the Board,"Dongguan Development (Holdings) Co., Ltd",Dongguan,Guangdong,523110,52,Warehousing and support activities for transportation,151902.2,949836.7,668
Yin Jinrong,Chairman,"Dongguan Development (Holdings) Co., Ltd.",Dongguan,Guangdong,523110,42,Civil engineering,116345,864865.8,636
Yin Jintao,Independent Non-Executive Director,Dalian Port (PDA) Company Limited,Dalian,Liaoning,116601,52,Warehousing and support activities for transportation,1289177,4490527,6820
Yin Jintao,Independent Non-Executive Director,Shanghai Pharmaceuticals Holding Co Ltd,Shanghai,Shanghai,200020,46,"Wholesale trade, except of motor vehicles and motorcycles",14997690,10376470,39891
Yin Juanhua,Director,"Haining Qilianshan Electronic Co., Ltd.",Jiaxing,Zhejiang,314412,26,"Manufacture of computer, electronic and optical products",4516.9,52762.6,348
Yin Jun,Director,"CRED Holding Co.,Ltd",Beijing,Beijing,100080,41,Construction of buildings,2492.8,65084.8,34
Yin Jun,Chairman of the Board,Heilongjiang Intrchna Watrtrertmt Co Ltd,Beijing,Beijing,100006,36,"Water collection, treatment and supply",116854.7,635346.1,1328
Yin Lianwei,Chairman,"Wuxi Yinda Nylon Co., Ltd.",Wuxi,Jiangsu,214183,20,Manufacture of chemicals and chemical products,22925.1,36210,148
Yin Meiping,Chairman,"Jiangsu Sunlink Pv Technology Co., Ltd.",Suzhou,Jiangsu,215600,27,Manufacture of electrical equipment,80108.8,80599.9,980
Yin Mengbo,Non-Executive Independent Director,Chongqing Rural Commercial Bank CO LTD,Chongqing,Chongqing,400020,64,"Financial service activities, except insurance and pension funding",3227066,99810840,16595
Yin Mengbo,Independent Director,CNinsure Inc. (ADR),Guangzhou,Guangdong,510110,66,Activities auxiliary to financial service and insurance activities,348978.2,604534.2,3867
Yin Naxiong,Director,"Jiangsu Xinfang Industry Co., Ltd.",Wuxi,Jiangsu,214073,20,Manufacture of chemicals and chemical products,70051,66025.7,1255
Yin Ping Ge,Board Member,Coslight Technology International Group Limited,Harbin,Heilongjiang,150086,27,Manufacture of electrical equipment,495322.9,1000204,9552
Yin Quanlong,Director,"Changzhou Jiuqiang Construction Materials Co., Ltd.",Changzhou,Jiangsu,213013,23,Manufacture of other non-metallic mineral products,1623,1587.3,23
